,symbol,type,entry_time,exit_time,entry_price,exit_price,sl,tp,risk,reward,profit,close_reason
0,XAUUSD,BUY,1768557600.0,1768561200.0,4607.36,4601.03,4601.03,4632.679999999999,6.329999999999927,25.31999999999971,-6.329999999999927,SL
1,XAUUSD,SELL,1768561200.0,1768564800.0,4601.17,4609.02,4609.02,4569.769999999999,7.850000000000364,31.400000000001455,-7.850000000000364,SL
2,XAUUSD,BUY,1768568400.0,1768573800.0,4611.15,4598.58,4598.58,4661.4299999999985,12.569999999999709,50.279999999998836,-12.569999999999709,SL
3,XAUUSD,SELL,1768575600.0,1768579200.0,4586.91,4606.81,4606.81,4507.309999999998,19.900000000000546,79.60000000000218,-19.900000000000546,SL
4,XAUUSD,SELL,1768874400.0,1768878000.0,4659.65,4668.86,4668.86,4622.8099999999995,9.210000000000036,36.840000000000146,-9.210000000000036,SL
5,XAUUSD,SELL,1769025600.0,1769029200.0,4834.08,4837.04,4837.04,4822.24,2.9600000000000364,11.840000000000146,-2.9600000000000364,SL
6,XAUUSD,SELL,1769052600.0,1769067000.0,4797.95,4809.69,4809.69,4750.990000000001,11.739999999999782,46.95999999999913,-11.739999999999782,SL
7,XAUUSD,BUY,1769072400.0,1769081400.0,4837.15,4821.45,4821.45,4899.949999999999,15.699999999999818,62.79999999999927,-15.699999999999818,SL
8,XAUUSD,BUY,1769184000.0,1769389200.0,4939.93,4990.170000000002,4927.37,4990.170000000002,12.5600000000004,50.2400000000016,50.2400000000016,TP
9,XAUUSD,BUY,1769488200.0,1769529600.0,5072.39,5049.6,5049.6,5163.55,22.789999999999964,91.15999999999985,-22.789999999999964,SL
10,XAUUSD,SELL,1769713200.0,1769716800.0,5362.84,5342.440000000002,5367.94,5342.440000000002,5.099999999999454,20.399999999997817,20.399999999997817,TP
11,XAUUSD,SELL,1770235200.0,1770238800.0,4926.62,4935.24,4935.24,4892.14,8.61999999999989,34.47999999999956,-8.61999999999989,SL
12,XAUUSD,BUY,1770256800.0,1770260400.0,5015.72,4997.13,4997.13,5090.080000000001,18.590000000000146,74.36000000000058,-18.590000000000146,SL
13,XAUUSD,BUY,1770258600.0,1770262200.0,5006.89,4997.13,4997.13,5045.930000000001,9.760000000000218,39.04000000000087,-9.760000000000218,SL
14,XAUUSD,BUY,1770384600.0,1770598800.0,4887.22,4980.460000000002,4863.91,4980.460000000002,23.3100000000004,93.2400000000016,93.2400000000016,TP
15,XAUUSD,SELL,1770640200.0,1770643800.0,4991.05,5015.41,5015.41,4893.6100000000015,24.359999999999673,97.43999999999869,-24.359999999999673,SL
16,XAUUSD,BUY,1770647400.0,1770651000.0,5013.38,5007.38,5007.38,5037.38,6.0,24.0,-6.0,SL
17,XAUUSD,SELL,1770649200.0,1770654600.0,5004.38,5024.84,5024.84,4922.54,20.460000000000036,81.84000000000015,-20.460000000000036,SL
18,XAUUSD,SELL,1770688800.0,1770696000.0,5034.33,5048.57,5048.57,4977.370000000001,14.239999999999782,56.95999999999913,-14.239999999999782,SL
19,XAUUSD,BUY,1770719400.0,1770733800.0,5041.83,5029.07,5029.07,5092.870000000001,12.760000000000218,51.04000000000087,-12.760000000000218,SL
20,XAUUSD,BUY,1770773400.0,1770816600.0,5041.81,5108.490000000001,5025.14,5108.490000000001,16.670000000000073,66.68000000000029,66.68000000000029,TP
21,XAUUSD,SELL,1770863400.0,1770868800.0,5063.18,5067.82,5067.82,5044.620000000003,4.639999999999418,18.55999999999767,-4.639999999999418,SL
22,XAUUSD,BUY,1770895800.0,1770899400.0,5073.28,5066.22,5066.22,5101.519999999998,7.059999999999491,28.239999999997963,-7.059999999999491,SL
23,XAUUSD,SELL,1770897600.0,1770910200.0,5061.34,5080.81,5080.81,4983.459999999999,19.470000000000255,77.88000000000102,-19.470000000000255,SL
24,XAUUSD,BUY,1770910200.0,1770913800.0,5075.25,5051.48,5051.48,5170.330000000002,23.770000000000437,95.08000000000175,-23.770000000000437,SL
