time,open,high,low,close,tick_volume,spread,real_volume,ema_8,ema_33
1779420600,1.1614,1.16161,1.16123,1.16144,641,1,0,1.1615997617475893,1.1609095349931633
1779422400,1.16143,1.16157,1.16121,1.16139,770,2,0,1.1615531480259027,1.160937797640624
1779424200,1.16139,1.16156,1.16098,1.16099,809,2,0,1.1614280040201466,1.1609408683676463
1779426000,1.16097,1.16119,1.16095,1.16113,540,2,0,1.1613617809045584,1.1609519937577848
1779427800,1.16114,1.16142,1.16099,1.16117,505,2,0,1.1613191629257678,1.1609648176543859
1779429600,1.16116,1.16129,1.16086,1.16102,502,2,0,1.161252682275597,1.1609680636747162
1779431400,1.16102,1.16122,1.16102,1.16119,514,2,0,1.16123875288102,1.160981118752674
1779433200,1.16118,1.16149,1.16112,1.16135,429,2,0,1.1612634744630155,1.1610028176495755
1779435000,1.16135,1.16154,1.16129,1.16152,276,2,0,1.161320480137901,1.1610332401407768
1779436800,1.16151,1.16167,1.16142,1.16145,457,2,0,1.1613492623294785,1.1610577554266135
1779438600,1.16145,1.16169,1.16071,1.16092,807,2,0,1.1612538707007056,1.1610496521662246
1779440400,1.16092,1.16145,1.16075,1.16122,1409,0,0,1.1612463438783265,1.161059672627035
1779442200,1.16122,1.16124,1.16052,1.16098,1282,0,0,1.1611871563498095,1.1610549860019153
1779444000,1.16098,1.16098,1.16013,1.16084,1171,0,0,1.1611100104942964,1.1610423397665086
1779445800,1.16084,1.16094,1.16046,1.16083,1156,0,0,1.1610477859400083,1.1610298491920081
1779447600,1.16083,1.16157,1.16058,1.16112,1537,0,0,1.1610638335088952,1.1610351521807136
1779449400,1.16112,1.16122,1.16032,1.16078,1588,0,0,1.1610007593958074,1.161020143228907
1779451200,1.16077,1.16079,1.1596,1.15993,1179,1,0,1.1607628128634058,1.1609560171566182
1779453000,1.15993,1.16057,1.15982,1.16041,1081,0,0,1.1606844100048712,1.1609238985003467
1779454800,1.16042,1.16078,1.16001,1.16002,822,0,0,1.160536763337122,1.1608707280003263
1779456600,1.16002,1.16012,1.15951,1.15973,1172,2,0,1.1603574825955394,1.1608036263532484
1779458400,1.15973,1.15976,1.15933,1.15938,1083,0,0,1.160140264240975,1.1607198836265866
